docente,tipo_producao,doi,titulo_revisado,titulo_banco,periodico_revisado,periodico_banco,ano_revisado,ano_banco,diffs
Ozeas de Lima Lins Filho,artigo,10.1038/s41371-025-01080-y,"Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial. JOURNAL OF HUMAN HYPERTENSION, v. 1, p. 1-9, 2025","Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial",JOURNAL OF HUMAN HYPERTENSION,JOURNAL OF HUMAN HYPERTENSION,2025,2025,titulo
Leonardo Gomes de Oliveira Luz,artigo,10.1002/ajhb.70024,"Biocultural correlates of gross motor coordination in prepubescent children: A cross-sectional study. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 36, p. 1, 2024",Correlates of Moderate?to?Vigorous Physical Activity Among Prepubertal Girls: A Bioecological Approach,AMERICAN JOURNAL OF HUMAN BIOLOGY,AMERICAN JOURNAL OF HUMAN BIOLOGY,2024,2025,"titulo,ano"
Ozeas de Lima Lins Filho,artigo,10.1016/j.sleep.2026.108879,"Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial. SLEEP MEDICINE, v. 142, p. 1-7, 2026",Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial,SLEEP MEDICINE,SLEEP MEDICINE,2026,2026,titulo
Daniel da Rocha Queiroz,artigo,10.12820/rbafs.30e0411,Can Motor Competence be a Better Predictor than Physical Activity on Adiposity Indicators in Children? A Longitudinal Study,The importance of the moderate-to-vigorous physical activity and sedentary behavior combined pattern on the association between body mass index and motor competence in children,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,2026,2025,"titulo,ano"
Vilde Gomes de Menezes,artigo,10.56083/RCV5N8-088,"FATORES CONDICIONANTES DA POLÍTICA EDUCACIONAL NO CONTEXTO DO ESTADO BRASILEIRO. CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA, v. 5, p. e8906, 2025",FATORES CONDICIONANTES DA POLÍTICA EDUCACIONAL NO CONTEXTO DO ESTADO BRASILEIRO,CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA,CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA,2025,2025,titulo
Tony Meireles dos Santos,artigo,10.4025/jphyseduc.v36i1.3607,COMPARISON OF AFFECTIVE RESPONSES DURING SCHOOL PHYSICAL EDUCATION CLASSES WITH DIFFERENT RECOVERY TIMES,Integration of cyberculture in physical education courses at federal universities in Northeastern Brazil,JOURNAL OF PHYSICAL EDUCATION (ONLINE),JOURNAL OF PHYSICAL EDUCATION (ONLINE),2022,2025,"titulo,ano"
Rafael dos Santos Henrique,artigo,10.1152/japplphysiol.00700.2025,"Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts. JOURNAL OF APPLIED PHYSIOLOGY, v. 139, p. 1722-1723, 2025",Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts,JOURNAL OF APPLIED PHYSIOLOGY,JOURNAL OF APPLIED PHYSIOLOGY,2025,2025,titulo
Eduardo Zapaterra Campos,artigo,10.1038/s41598-025-98762-x,"Time-course of muscle fatigue development during intense exercise in hypoxia and normoxia. Scientific Reports, v. 15, p. 14065, 2025",Time-course of muscle fatigue development during intense exercise in hypoxia and normoxia,Scientific Reports,Scientific Reports,2025,2025,titulo
Ozeas de Lima Lins Filho,artigo,10.1007/s11325-024-03181-3,"Minimal changes in sleep parameters during overnight ambulatory blood pressure monitoring do not affect outcomes. Sleep and Breathing, v. 29, p. 00-6, 2025",Minimal changes in sleep parameters during overnight ambulatory blood pressure monitoring do not affect outcomes,Sleep and Breathing,Sleep and Breathing,2025,2025,titulo
Vilde Gomes de Menezes,artigo,10.55905/oelv23n4-058,"Produção científica no campo das políticas públicas de esporte e lazer no Brasil entre 2003 e 2023. OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA, v. 23, p. e8932, 2025",Análise da oferta de Políticas Públicas de esportes nas regiões metropolitanas do Brasil,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,2025,2025,titulo
