docente,doi,campo,antes,depois
Ozeas de Lima Lins Filho,10.1038/s41371-025-01080-y,titulo,"Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial","Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial. JOURNAL OF HUMAN HYPERTENSION, v. 1, p. 1-9, 2025"
Leonardo Gomes de Oliveira Luz,10.1002/ajhb.70024,ano,2025,2024
Leonardo Gomes de Oliveira Luz,10.1002/ajhb.70024,titulo,Correlates of Moderate?to?Vigorous Physical Activity Among Prepubertal Girls: A Bioecological Approach,"Biocultural correlates of gross motor coordination in prepubescent children: A cross-sectional study. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 36, p. 1, 2024"
Ozeas de Lima Lins Filho,10.1016/j.sleep.2026.108879,titulo,Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial,"Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial. SLEEP MEDICINE, v. 142, p. 1-7, 2026"
Daniel da Rocha Queiroz,10.12820/rbafs.30e0411,ano,2025,2026
Daniel da Rocha Queiroz,10.12820/rbafs.30e0411,titulo,The importance of the moderate-to-vigorous physical activity and sedentary behavior combined pattern on the association between body mass index and motor competence in children,Can Motor Competence be a Better Predictor than Physical Activity on Adiposity Indicators in Children? A Longitudinal Study
Vilde Gomes de Menezes,10.56083/RCV5N8-088,titulo,FATORES CONDICIONANTES DA POLÍTICA EDUCACIONAL NO CONTEXTO DO ESTADO BRASILEIRO,"FATORES CONDICIONANTES DA POLÍTICA EDUCACIONAL NO CONTEXTO DO ESTADO BRASILEIRO. CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA, v. 5, p. e8906, 2025"
Tony Meireles dos Santos,10.4025/jphyseduc.v36i1.3607,ano,2025,2022
Tony Meireles dos Santos,10.4025/jphyseduc.v36i1.3607,titulo,Integration of cyberculture in physical education courses at federal universities in Northeastern Brazil,COMPARISON OF AFFECTIVE RESPONSES DURING SCHOOL PHYSICAL EDUCATION CLASSES WITH DIFFERENT RECOVERY TIMES
Rafael dos Santos Henrique,10.1152/japplphysiol.00700.2025,titulo,Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts,"Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts. JOURNAL OF APPLIED PHYSIOLOGY, v. 139, p. 1722-1723, 2025"
Eduardo Zapaterra Campos,10.1038/s41598-025-98762-x,titulo,Time-course of muscle fatigue development during intense exercise in hypoxia and normoxia,"Time-course of muscle fatigue development during intense exercise in hypoxia and normoxia. Scientific Reports, v. 15, p. 14065, 2025"
